30-Jul-19 03:10:46 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-07-30-03-10-43', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
30-Jul-19 03:10:47 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
30-Jul-19 03:14:27 - TorcsAgent - INFO - Episode: 28, Total Reward: 1425.057, Avg. Reward Last 100 Episodes: 257.042, Avg. Actor Loss: -25.405 Avg. Critic Loss: 1.068 Avg. Q-Values: 15.802, Time: 11.368, Training Steps: 50, Eps: 0.996
30-Jul-19 03:14:34 - TorcsAgent - INFO - Episode: 29, Total Reward: 263.777, Avg. Reward Last 100 Episodes: 297.319, Avg. Actor Loss: -28.893 Avg. Critic Loss: 1.115 Avg. Q-Values: 16.234, Time: 6.341, Training Steps: 25, Eps: 0.995
30-Jul-19 03:14:43 - TorcsAgent - INFO - Episode: 30, Total Reward: 275.356, Avg. Reward Last 100 Episodes: 296.201, Avg. Actor Loss: -28.295 Avg. Critic Loss: 0.993 Avg. Q-Values: 17.098, Time: 9.424, Training Steps: 35, Eps: 0.995
30-Jul-19 03:14:50 - TorcsAgent - INFO - Episode: 31, Total Reward: 0.585, Avg. Reward Last 100 Episodes: 295.528, Avg. Actor Loss: -40.668 Avg. Critic Loss: 1.056 Avg. Q-Values: 16.596, Time: 6.552, Training Steps: 26, Eps: 0.995
30-Jul-19 03:14:58 - TorcsAgent - INFO - Episode: 32, Total Reward: 617.157, Avg. Reward Last 100 Episodes: 286.311, Avg. Actor Loss: -51.467 Avg. Critic Loss: 0.885 Avg. Q-Values: 17.689, Time: 8.565, Training Steps: 36, Eps: 0.995
30-Jul-19 03:15:05 - TorcsAgent - INFO - Episode: 33, Total Reward: 146.196, Avg. Reward Last 100 Episodes: 296.337, Avg. Actor Loss: -51.361 Avg. Critic Loss: 0.974 Avg. Q-Values: 17.501, Time: 6.782, Training Steps: 22, Eps: 0.994
30-Jul-19 03:15:12 - TorcsAgent - INFO - Episode: 34, Total Reward: 359.608, Avg. Reward Last 100 Episodes: 291.921, Avg. Actor Loss: -49.973 Avg. Critic Loss: 0.962 Avg. Q-Values: 16.934, Time: 6.549, Training Steps: 26, Eps: 0.994
30-Jul-19 03:15:21 - TorcsAgent - INFO - Episode: 35, Total Reward: 1112.103, Avg. Reward Last 100 Episodes: 293.855, Avg. Actor Loss: -53.428 Avg. Critic Loss: 1.053 Avg. Q-Values: 18.434, Time: 9.560, Training Steps: 41, Eps: 0.994
30-Jul-19 03:15:32 - TorcsAgent - INFO - Episode: 36, Total Reward: 1248.077, Avg. Reward Last 100 Episodes: 316.584, Avg. Actor Loss: -56.770 Avg. Critic Loss: 0.936 Avg. Q-Values: 19.633, Time: 10.625, Training Steps: 41, Eps: 0.993
30-Jul-19 03:15:38 - TorcsAgent - INFO - Episode: 37, Total Reward: -0.736, Avg. Reward Last 100 Episodes: 341.760, Avg. Actor Loss: -62.019 Avg. Critic Loss: 1.019 Avg. Q-Values: 23.478, Time: 6.132, Training Steps: 24, Eps: 0.993
30-Jul-19 03:15:45 - TorcsAgent - INFO - Episode: 38, Total Reward: 24.060, Avg. Reward Last 100 Episodes: 332.747, Avg. Actor Loss: -56.991 Avg. Critic Loss: 1.003 Avg. Q-Values: 24.646, Time: 6.535, Training Steps: 26, Eps: 0.993
30-Jul-19 03:15:52 - TorcsAgent - INFO - Episode: 39, Total Reward: 103.938, Avg. Reward Last 100 Episodes: 324.832, Avg. Actor Loss: -62.807 Avg. Critic Loss: 0.909 Avg. Q-Values: 27.588, Time: 7.791, Training Steps: 27, Eps: 0.993
30-Jul-19 03:15:58 - TorcsAgent - INFO - Episode: 40, Total Reward: 217.551, Avg. Reward Last 100 Episodes: 319.309, Avg. Actor Loss: -68.184 Avg. Critic Loss: 0.822 Avg. Q-Values: 31.555, Time: 6.116, Training Steps: 24, Eps: 0.993
30-Jul-19 03:16:08 - TorcsAgent - INFO - Episode: 41, Total Reward: 613.507, Avg. Reward Last 100 Episodes: 316.827, Avg. Actor Loss: -73.416 Avg. Critic Loss: 0.871 Avg. Q-Values: 36.420, Time: 9.750, Training Steps: 42, Eps: 0.992
30-Jul-19 03:16:17 - TorcsAgent - INFO - Episode: 42, Total Reward: 347.958, Avg. Reward Last 100 Episodes: 323.891, Avg. Actor Loss: -78.005 Avg. Critic Loss: 0.901 Avg. Q-Values: 39.592, Time: 8.608, Training Steps: 31, Eps: 0.992
