29-Jul-19 03:38:04 - LanderActor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (8,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.005, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/LanderActor/2019-07-29-03-38-02', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (8,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (2,)}, 'strategy_params': {'epsilon_decay': 0.0025, 'action_dim': (2,), 'noise_variance': 0.1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'epsilon': 1, 'action_high': 1, 'action_low': -1, 'method': 'gaussian', 'epsilon_decay_start': 1000}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'LanderActor', 'verbose': True, 'train_interval': 1, 'training_episodes': 2000, 'action_dim': (2,)}
29-Jul-19 03:38:04 - LanderActor - INFO - --- Start TwinDelayedDDPG training ---
29-Jul-19 03:40:57 - LanderActor - INFO - Episode: 61, Total Reward: -96.458, Avg. Reward Last 100 Episodes: -214.078, Avg. Actor Loss: -0.963 Avg. Critic Loss: 0.057 Avg. Q-Values: -0.826, Time: 4.105, Training Steps: 525, Eps: 1.000
29-Jul-19 03:40:57 - LanderActor - INFO - Episode: 62, Total Reward: -204.129, Avg. Reward Last 100 Episodes: -212.181, Avg. Actor Loss: -2.077 Avg. Critic Loss: 0.041 Avg. Q-Values: -0.741, Time: 0.826, Training Steps: 110, Eps: 1.000
29-Jul-19 03:40:59 - LanderActor - INFO - Episode: 63, Total Reward: -240.320, Avg. Reward Last 100 Episodes: -212.053, Avg. Actor Loss: -1.895 Avg. Critic Loss: 0.049 Avg. Q-Values: -0.464, Time: 1.322, Training Steps: 184, Eps: 1.000
29-Jul-19 03:41:00 - LanderActor - INFO - Episode: 64, Total Reward: -172.438, Avg. Reward Last 100 Episodes: -212.494, Avg. Actor Loss: -0.947 Avg. Critic Loss: 0.057 Avg. Q-Values: -0.819, Time: 1.185, Training Steps: 167, Eps: 1.000
29-Jul-19 03:41:03 - LanderActor - INFO - Episode: 65, Total Reward: -97.252, Avg. Reward Last 100 Episodes: -211.878, Avg. Actor Loss: -1.406 Avg. Critic Loss: 0.060 Avg. Q-Values: -0.767, Time: 3.297, Training Steps: 409, Eps: 1.000
29-Jul-19 03:41:04 - LanderActor - INFO - Episode: 66, Total Reward: -130.969, Avg. Reward Last 100 Episodes: -210.141, Avg. Actor Loss: -1.750 Avg. Critic Loss: 0.059 Avg. Q-Values: -0.698, Time: 0.970, Training Steps: 136, Eps: 1.000
29-Jul-19 03:41:05 - LanderActor - INFO - Episode: 67, Total Reward: -74.307, Avg. Reward Last 100 Episodes: -208.960, Avg. Actor Loss: -1.949 Avg. Critic Loss: 0.046 Avg. Q-Values: -0.846, Time: 0.575, Training Steps: 82, Eps: 1.000
29-Jul-19 03:41:05 - LanderActor - INFO - Episode: 68, Total Reward: -115.447, Avg. Reward Last 100 Episodes: -206.980, Avg. Actor Loss: -1.160 Avg. Critic Loss: 0.058 Avg. Q-Values: -1.189, Time: 0.565, Training Steps: 81, Eps: 1.000
29-Jul-19 03:41:06 - LanderActor - INFO - Episode: 69, Total Reward: -117.959, Avg. Reward Last 100 Episodes: -205.653, Avg. Actor Loss: -0.949 Avg. Critic Loss: 0.078 Avg. Q-Values: -1.156, Time: 0.733, Training Steps: 97, Eps: 1.000
29-Jul-19 03:41:07 - LanderActor - INFO - Episode: 70, Total Reward: -140.606, Avg. Reward Last 100 Episodes: -204.400, Avg. Actor Loss: -0.049 Avg. Critic Loss: 0.070 Avg. Q-Values: -2.236, Time: 0.975, Training Steps: 131, Eps: 1.000
