21-Jul-19 03:08:31 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-07-21-03-08-27', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
21-Jul-19 03:11:55 - torcs_agent_torcsAgent_actor - INFO - Episode: 26, Total Reward: 48.811, Avg. Reward Last 100 Episodes: 358.433, Avg. Actor Loss: -0.588 Avg. Critic Loss: 207.662 Avg. Q-Values: 13.468, Time: 6.333, Training Steps: 25, Eps: 0.996
21-Jul-19 03:12:03 - torcs_agent_torcsAgent_actor - INFO - Episode: 27, Total Reward: 385.109, Avg. Reward Last 100 Episodes: 346.966, Avg. Actor Loss: -0.811 Avg. Critic Loss: 124.579 Avg. Q-Values: 13.072, Time: 7.800, Training Steps: 27, Eps: 0.996
21-Jul-19 03:12:10 - torcs_agent_torcsAgent_actor - INFO - Episode: 28, Total Reward: 190.599, Avg. Reward Last 100 Episodes: 348.328, Avg. Actor Loss: -0.894 Avg. Critic Loss: 148.239 Avg. Q-Values: 13.609, Time: 7.333, Training Steps: 30, Eps: 0.995
21-Jul-19 03:12:16 - torcs_agent_torcsAgent_actor - INFO - Episode: 29, Total Reward: 168.197, Avg. Reward Last 100 Episodes: 342.889, Avg. Actor Loss: -0.922 Avg. Critic Loss: 168.279 Avg. Q-Values: 10.795, Time: 5.718, Training Steps: 22, Eps: 0.995
21-Jul-19 03:12:23 - torcs_agent_torcsAgent_actor - INFO - Episode: 30, Total Reward: 276.614, Avg. Reward Last 100 Episodes: 337.066, Avg. Actor Loss: -0.914 Avg. Critic Loss: 151.610 Avg. Q-Values: 13.157, Time: 7.182, Training Steps: 24, Eps: 0.995
21-Jul-19 03:12:30 - torcs_agent_torcsAgent_actor - INFO - Episode: 31, Total Reward: 374.226, Avg. Reward Last 100 Episodes: 335.116, Avg. Actor Loss: -1.047 Avg. Critic Loss: 129.453 Avg. Q-Values: 15.979, Time: 7.164, Training Steps: 29, Eps: 0.995
21-Jul-19 03:12:37 - torcs_agent_torcsAgent_actor - INFO - Episode: 32, Total Reward: 385.636, Avg. Reward Last 100 Episodes: 336.338, Avg. Actor Loss: -1.016 Avg. Critic Loss: 103.321 Avg. Q-Values: 16.003, Time: 6.537, Training Steps: 26, Eps: 0.995
21-Jul-19 03:12:45 - torcs_agent_torcsAgent_actor - INFO - Episode: 33, Total Reward: 63.081, Avg. Reward Last 100 Episodes: 337.832, Avg. Actor Loss: -0.941 Avg. Critic Loss: 127.360 Avg. Q-Values: 14.242, Time: 7.800, Training Steps: 27, Eps: 0.994
21-Jul-19 03:12:50 - torcs_agent_torcsAgent_actor - INFO - Episode: 34, Total Reward: 156.552, Avg. Reward Last 100 Episodes: 329.751, Avg. Actor Loss: -1.023 Avg. Critic Loss: 110.259 Avg. Q-Values: 17.833, Time: 5.734, Training Steps: 22, Eps: 0.994
21-Jul-19 03:13:00 - torcs_agent_torcsAgent_actor - INFO - Episode: 35, Total Reward: 518.531, Avg. Reward Last 100 Episodes: 324.803, Avg. Actor Loss: -1.001 Avg. Critic Loss: 108.757 Avg. Q-Values: 15.131, Time: 9.765, Training Steps: 42, Eps: 0.994
21-Jul-19 03:13:09 - torcs_agent_torcsAgent_actor - INFO - Episode: 36, Total Reward: 569.871, Avg. Reward Last 100 Episodes: 330.184, Avg. Actor Loss: -0.960 Avg. Critic Loss: 93.768 Avg. Q-Values: 14.254, Time: 8.604, Training Steps: 31, Eps: 0.994
21-Jul-19 03:13:15 - torcs_agent_torcsAgent_actor - INFO - Episode: 37, Total Reward: 287.569, Avg. Reward Last 100 Episodes: 336.662, Avg. Actor Loss: -1.019 Avg. Critic Loss: 118.299 Avg. Q-Values: 17.549, Time: 5.929, Training Steps: 23, Eps: 0.993
21-Jul-19 03:13:24 - torcs_agent_torcsAgent_actor - INFO - Episode: 38, Total Reward: 769.642, Avg. Reward Last 100 Episodes: 335.370, Avg. Actor Loss: -1.027 Avg. Critic Loss: 141.247 Avg. Q-Values: 16.428, Time: 9.752, Training Steps: 42, Eps: 0.993
21-Jul-19 03:13:35 - torcs_agent_torcsAgent_actor - INFO - Episode: 39, Total Reward: 1061.667, Avg. Reward Last 100 Episodes: 346.505, Avg. Actor Loss: -1.024 Avg. Critic Loss: 109.127 Avg. Q-Values: 14.521, Time: 11.017, Training Steps: 43, Eps: 0.993
21-Jul-19 03:13:41 - torcs_agent_torcsAgent_actor - INFO - Episode: 40, Total Reward: -22.993, Avg. Reward Last 100 Episodes: 364.384, Avg. Actor Loss: -1.138 Avg. Critic Loss: 102.382 Avg. Q-Values: 17.676, Time: 5.932, Training Steps: 23, Eps: 0.993
