02-Aug-19 20:36:43 - CheetahAgent - INFO - Agent created with following parameters: {'target_score': None, 'soft_target_update_rate': 0.001, 'replay_memory_params': {'rewards_dtype': 'float32', 'state_dtype': 'float32', 'state_dim': (26,), 'action_dtype': 'float32', 'method': 'buffer', 'memory_size': 1000000, 'sample_size': 64, 'action_dim': (6,)}, 'output_directory': 'model/CheetahAgent/2019-08-02-20-36-41', 'critic_optimizer_params': {'learning_rate': 0.001}, 'state_dim': (26,), 'discount_factor': 0.99, 'ctx': 'gpu(0)', 'evaluation_samples': 100, 'critic_optimizer': 'adam', 'verbose': True, 'start_training': 1, 'actor_optimizer_params': {'learning_rate': 0.0001}, 'actor_optimizer': 'adam', 'training_episodes': 2500, 'agent_name': 'CheetahAgent', 'train_interval': 1, 'strategy_params': {'sigma': [0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'action_high': 1, 'min_epsilon': 0.05, 'action_dim': (6,), 'epsilon': 1, 'action_low': -1, 'epsilon_decay': 0.00067, 'epsilon_decay_method': 'linear', 'mu': [0, 0, 0, 0, 0, 0], 'epsilon_decay_start': 200, 'theta': [0.15, 0.15, 0.15, 0.15, 0.15, 0.15], 'method': 'ornstein_uhlenbeck'}, 'action_dim': (6,), 'snapshot_interval': 250, 'max_episode_step': 10000}
02-Aug-19 20:36:43 - CheetahAgent - INFO - --- Start DDPG training ---
02-Aug-19 20:36:48 - CheetahAgent - INFO - Episode: 27, Total Reward: -6.340, Avg. Reward Last 100 Episodes: 4.980, Avg. Actor Loss: -0.011 Avg. Critic Loss: 0.021 Avg. Q-Values: 0.277, Time: 0.287, Training Steps: 30, Eps: 1.000
02-Aug-19 20:36:48 - CheetahAgent - INFO - Episode: 28, Total Reward: 14.752, Avg. Reward Last 100 Episodes: 4.575, Avg. Actor Loss: -0.011 Avg. Critic Loss: 0.016 Avg. Q-Values: 0.275, Time: 0.266, Training Steps: 27, Eps: 1.000
02-Aug-19 20:36:49 - CheetahAgent - INFO - Episode: 29, Total Reward: 10.964, Avg. Reward Last 100 Episodes: 4.926, Avg. Actor Loss: -0.012 Avg. Critic Loss: 0.017 Avg. Q-Values: 0.278, Time: 0.303, Training Steps: 32, Eps: 1.000
02-Aug-19 20:36:49 - CheetahAgent - INFO - Episode: 30, Total Reward: 4.266, Avg. Reward Last 100 Episodes: 5.127, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.319, Time: 0.124, Training Steps: 13, Eps: 1.000
02-Aug-19 20:36:49 - CheetahAgent - INFO - Episode: 31, Total Reward: -10.039, Avg. Reward Last 100 Episodes: 5.100, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.309, Time: 0.206, Training Steps: 23, Eps: 1.000
02-Aug-19 20:36:49 - CheetahAgent - INFO - Episode: 32, Total Reward: 6.468, Avg. Reward Last 100 Episodes: 4.627, Avg. Actor Loss: -0.012 Avg. Critic Loss: 0.021 Avg. Q-Values: 0.290, Time: 0.432, Training Steps: 47, Eps: 1.000
02-Aug-19 20:36:49 - CheetahAgent - INFO - Episode: 33, Total Reward: 4.365, Avg. Reward Last 100 Episodes: 4.682, Avg. Actor Loss: -0.012 Avg. Critic Loss: 0.014 Avg. Q-Values: 0.309, Time: 0.138, Training Steps: 14, Eps: 1.000
02-Aug-19 20:36:50 - CheetahAgent - INFO - Episode: 34, Total Reward: 5.720, Avg. Reward Last 100 Episodes: 4.673, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.014 Avg. Q-Values: 0.348, Time: 0.133, Training Steps: 14, Eps: 1.000
02-Aug-19 20:36:50 - CheetahAgent - INFO - Episode: 35, Total Reward: 5.485, Avg. Reward Last 100 Episodes: 4.703, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.028 Avg. Q-Values: 0.342, Time: 0.134, Training Steps: 14, Eps: 1.000
02-Aug-19 20:36:50 - CheetahAgent - INFO - Episode: 36, Total Reward: -2.397, Avg. Reward Last 100 Episodes: 4.725, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.019 Avg. Q-Values: 0.317, Time: 0.171, Training Steps: 18, Eps: 1.000
