Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
21,static,"Car_0","(OSM id: 598179047)",20.01,0.05
21,static,"Car_3","(OSM id: 452514257)",16.21,0.5
21,static,"Car_0","(OSM id: 470347241)",20.11,0.11
21,static,"Car_0","(OSM id: 598179045)",21.31,0.04
21,static,"Car_1","(OSM id: 598179047)",20.81,0.1
21,static,"Car_1","(OSM id: 598179045)",22.01,0.09
21,static,"Car_3","(OSM id: 598179056)",23.21,0.11
21,static,"Car_0","(OSM id: 470347243)",23.21,0.12
21,static,"Car_3","(OSM id: 470347248)",24.31,0.07
21,static,"Car_3","(OSM id: 598179053)",26.01,0.1
21,static,"Car_1","(OSM id: 598179043)",26.41,0.09
21,static,"Car_0","(OSM id: 598179049)",26.81,0.11
21,static,"Car_3","(OSM id: 598179052)",27.41,0.08
21,static,"Car_1","(OSM id: 470347235)",28.01,0.09
25,vehicle,"Car_1","Car_2",6.41,0.02
25,vehicle,"Car_2","Car_1",6.41,0.02
25,static,"Car_3","(OSM id: 452512144)",7.71,0.63
25,static,"Car_4","(OSM id: 452512144)",9.71,0.65
25,static,"Car_4","(OSM id: 646111071)",18.31,0.07
25,static,"Car_3","(OSM id: 646111205)",18.61,0.11
25,static,"Car_4","(OSM id: 646111360)",19.41,0.12
25,static,"Car_3","(OSM id: 646111124)",19.81,0.17
25,static,"Car_3","(OSM id: 646111337)",21.81,0.03
25,static,"Car_4","(OSM id: 646111196)",24.61,0.13
25,static,"Car_1","(OSM id: 470347365)",25.51,0.09
25,static,"Car_4","(OSM id: 646111089)",25.91,0.12
25,static,"Car_3","(OSM id: 646111318)",25.81,0.16
25,static,"Car_4","(OSM id: 646111219)",27.11,0.11
25,static,"Car_4","(OSM id: 646110943)",28.31,0.1
27,static,"Car_2","(OSM id: 645787883)",7.01,0.0
27,static,"Car_3","(OSM id: 645787933)",7.91,0.07
27,static,"Car_2","(OSM id: 645787883)",7.71,0.12
27,static,"Car_0","(OSM id: 645787823)",9.31,0.11
27,static,"Car_0","(OSM id: 645787542)",10.51,0.18
27,static,"Car_0","(OSM id: 645787811)",12.71,0.14
27,static,"Car_0","(OSM id: 645787868)",14.21,0.15
27,static,"Car_3","(OSM id: 645787562)",16.91,0.08
27,static,"Car_3","(OSM id: 645787588)",17.81,0.11
27,static,"Car_3","(OSM id: 645787690)",19.01,0.05
27,static,"Car_0","(OSM id: 645787690)",19.81,0.04
27,static,"Car_0","(OSM id: 645787727)",20.71,0.09
27,static,"Car_1","(OSM id: 645787621)",21.51,0.05
27,static,"Car_0","(OSM id: 645787521)",21.71,0.09
27,static,"Car_0","(OSM id: 645787621)",22.71,0.08
27,static,"Car_0","(OSM id: 645787605)",23.61,0.02
27,static,"Car_3","(OSM id: 645787605)",23.61,0.06
