27-Jul-19 02:25:27 - WalkerAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (24,), 'discount_factor': 0.99, 'evaluation_samples': 100, 'snapshot_interval': 250, 'soft_target_update_rate': 0.001, 'start_training': 1, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/WalkerAgent/2019-07-27-02-25-26', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (24,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 64, 'memory_size': 1000000, 'method': 'buffer', 'action_dim': (4,)}, 'strategy_params': {'epsilon_decay': 0.0007, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 100, 'mu': [0, 0, 0, 0], 'min_epsilon': 0.05, 'theta': [0.15, 0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2, 0.2], 'method': 'ornstein_uhlenbeck', 'action_dim': (4,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 10000, 'agent_name': 'WalkerAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 2500, 'action_dim': (4,)}
27-Jul-19 02:25:27 - WalkerAgent - INFO - --- Start DDPG training ---
27-Jul-19 02:26:01 - WalkerAgent - INFO - Episode: 30, Total Reward: -109.368, Avg. Reward Last 100 Episodes: -115.628, Avg. Actor Loss: -0.008 Avg. Critic Loss: 18.471 Avg. Q-Values: -0.462, Time: 0.520, Training Steps: 59, Eps: 1.000
27-Jul-19 02:26:03 - WalkerAgent - INFO - Episode: 31, Total Reward: -123.036, Avg. Reward Last 100 Episodes: -115.426, Avg. Actor Loss: -0.012 Avg. Critic Loss: 15.495 Avg. Q-Values: -0.195, Time: 2.302, Training Steps: 260, Eps: 1.000
27-Jul-19 02:26:11 - WalkerAgent - INFO - Episode: 32, Total Reward: -112.530, Avg. Reward Last 100 Episodes: -115.664, Avg. Actor Loss: -0.018 Avg. Critic Loss: 11.947 Avg. Q-Values: -0.101, Time: 7.793, Training Steps: 872, Eps: 1.000
27-Jul-19 02:26:11 - WalkerAgent - INFO - Episode: 33, Total Reward: -107.378, Avg. Reward Last 100 Episodes: -115.569, Avg. Actor Loss: -0.021 Avg. Critic Loss: 10.113 Avg. Q-Values: 0.084, Time: 0.619, Training Steps: 68, Eps: 1.000
27-Jul-19 02:26:12 - WalkerAgent - INFO - Episode: 34, Total Reward: -126.673, Avg. Reward Last 100 Episodes: -115.328, Avg. Actor Loss: -0.020 Avg. Critic Loss: 7.552 Avg. Q-Values: 0.159, Time: 1.039, Training Steps: 116, Eps: 1.000
27-Jul-19 02:26:13 - WalkerAgent - INFO - Episode: 35, Total Reward: -110.852, Avg. Reward Last 100 Episodes: -115.652, Avg. Actor Loss: -0.021 Avg. Critic Loss: 7.950 Avg. Q-Values: 0.265, Time: 0.441, Training Steps: 48, Eps: 1.000
27-Jul-19 02:26:13 - WalkerAgent - INFO - Episode: 36, Total Reward: -105.120, Avg. Reward Last 100 Episodes: -115.519, Avg. Actor Loss: -0.019 Avg. Critic Loss: 13.541 Avg. Q-Values: 0.261, Time: 0.445, Training Steps: 51, Eps: 1.000
27-Jul-19 02:26:14 - WalkerAgent - INFO - Episode: 37, Total Reward: -119.520, Avg. Reward Last 100 Episodes: -115.238, Avg. Actor Loss: -0.022 Avg. Critic Loss: 4.778 Avg. Q-Values: 0.462, Time: 0.465, Training Steps: 51, Eps: 1.000
27-Jul-19 02:26:24 - WalkerAgent - INFO - Episode: 38, Total Reward: -136.068, Avg. Reward Last 100 Episodes: -115.350, Avg. Actor Loss: -0.027 Avg. Critic Loss: 7.826 Avg. Q-Values: 0.397, Time: 9.961, Training Steps: 1115, Eps: 1.000
27-Jul-19 02:26:33 - WalkerAgent - INFO - Episode: 39, Total Reward: -163.461, Avg. Reward Last 100 Episodes: -115.882, Avg. Actor Loss: -0.038 Avg. Critic Loss: 5.261 Avg. Q-Values: 1.048, Time: 9.337, Training Steps: 1050, Eps: 1.000
27-Jul-19 02:26:34 - WalkerAgent - INFO - Episode: 40, Total Reward: -112.133, Avg. Reward Last 100 Episodes: -117.071, Avg. Actor Loss: -0.041 Avg. Critic Loss: 2.239 Avg. Q-Values: 1.767, Time: 0.552, Training Steps: 63, Eps: 1.000
27-Jul-19 02:26:41 - WalkerAgent - INFO - Episode: 41, Total Reward: -144.266, Avg. Reward Last 100 Episodes: -116.951, Avg. Actor Loss: -0.049 Avg. Critic Loss: 3.612 Avg. Q-Values: 1.746, Time: 7.706, Training Steps: 868, Eps: 1.000
27-Jul-19 02:26:42 - WalkerAgent - INFO - Episode: 42, Total Reward: -102.925, Avg. Reward Last 100 Episodes: -117.601, Avg. Actor Loss: -0.059 Avg. Critic Loss: 2.020 Avg. Q-Values: 2.159, Time: 0.631, Training Steps: 70, Eps: 1.000
27-Jul-19 02:26:43 - WalkerAgent - INFO - Episode: 43, Total Reward: -130.132, Avg. Reward Last 100 Episodes: -117.260, Avg. Actor Loss: -0.058 Avg. Critic Loss: 5.632 Avg. Q-Values: 2.277, Time: 1.062, Training Steps: 120, Eps: 1.000
27-Jul-19 02:26:50 - WalkerAgent - INFO - Episode: 44, Total Reward: -135.679, Avg. Reward Last 100 Episodes: -117.552, Avg. Actor Loss: -0.065 Avg. Critic Loss: 4.753 Avg. Q-Values: 2.680, Time: 6.893, Training Steps: 775, Eps: 1.000
27-Jul-19 02:26:51 - WalkerAgent - INFO - Episode: 45, Total Reward: -120.863, Avg. Reward Last 100 Episodes: -117.955, Avg. Actor Loss: -0.075 Avg. Critic Loss: 5.173 Avg. Q-Values: 3.237, Time: 1.239, Training Steps: 133, Eps: 1.000
27-Jul-19 02:26:52 - WalkerAgent - INFO - Episode: 46, Total Reward: -122.905, Avg. Reward Last 100 Episodes: -118.018, Avg. Actor Loss: -0.076 Avg. Critic Loss: 5.081 Avg. Q-Values: 3.256, Time: 1.270, Training Steps: 141, Eps: 1.000
27-Jul-19 02:26:53 - WalkerAgent - INFO - Episode: 47, Total Reward: -96.552, Avg. Reward Last 100 Episodes: -118.122, Avg. Actor Loss: -0.078 Avg. Critic Loss: 3.188 Avg. Q-Values: 3.457, Time: 0.632, Training Steps: 70, Eps: 1.000
