02-Aug-19 22:32:28 - LanderQAgent - INFO - --- Start training ---
02-Aug-19 22:32:28 - LanderQAgent - INFO - Target network is updated after 0 steps
02-Aug-19 22:33:14 - LanderQAgent - INFO - Episode: 45, Total Reward: -171.325, Avg. Reward Last 100 Episodes: -181.676, Avg. Loss: 0.452, Time: 0.856, Training Steps: 72, Eps: 1.000
02-Aug-19 22:33:16 - LanderQAgent - INFO - Episode: 46, Total Reward: -186.864, Avg. Reward Last 100 Episodes: -181.451, Avg. Loss: 0.399, Time: 2.020, Training Steps: 170, Eps: 1.000
02-Aug-19 22:33:17 - LanderQAgent - INFO - Episode: 47, Total Reward: -207.544, Avg. Reward Last 100 Episodes: -181.566, Avg. Loss: 0.332, Time: 0.783, Training Steps: 66, Eps: 1.000
02-Aug-19 22:33:18 - LanderQAgent - INFO - Episode: 48, Total Reward: -113.844, Avg. Reward Last 100 Episodes: -182.108, Avg. Loss: 0.397, Time: 0.897, Training Steps: 76, Eps: 1.000
02-Aug-19 22:33:19 - LanderQAgent - INFO - Episode: 49, Total Reward: -110.802, Avg. Reward Last 100 Episodes: -180.714, Avg. Loss: 0.398, Time: 1.317, Training Steps: 111, Eps: 1.000
02-Aug-19 22:33:20 - LanderQAgent - INFO - Episode: 50, Total Reward: -154.671, Avg. Reward Last 100 Episodes: -179.316, Avg. Loss: 0.368, Time: 1.199, Training Steps: 101, Eps: 1.000
02-Aug-19 22:33:21 - LanderQAgent - INFO - Episode: 51, Total Reward: -200.173, Avg. Reward Last 100 Episodes: -178.833, Avg. Loss: 0.412, Time: 0.896, Training Steps: 74, Eps: 1.000
02-Aug-19 22:33:23 - LanderQAgent - INFO - Episode: 52, Total Reward: -134.764, Avg. Reward Last 100 Episodes: -179.243, Avg. Loss: 0.427, Time: 1.619, Training Steps: 136, Eps: 1.000
02-Aug-19 22:33:24 - LanderQAgent - INFO - Episode: 53, Total Reward: -49.401, Avg. Reward Last 100 Episodes: -178.404, Avg. Loss: 0.369, Time: 1.407, Training Steps: 120, Eps: 1.000
02-Aug-19 22:33:26 - LanderQAgent - INFO - Target network is updated after 5000 steps
02-Aug-19 22:33:26 - LanderQAgent - INFO - Episode: 54, Total Reward: -202.876, Avg. Reward Last 100 Episodes: -176.015, Avg. Loss: 0.418, Time: 1.621, Training Steps: 135, Eps: 1.000
02-Aug-19 22:33:27 - LanderQAgent - INFO - Episode: 55, Total Reward: -71.358, Avg. Reward Last 100 Episodes: -176.504, Avg. Loss: 0.424, Time: 0.789, Training Steps: 68, Eps: 1.000
02-Aug-19 22:33:28 - LanderQAgent - INFO - Episode: 56, Total Reward: -111.775, Avg. Reward Last 100 Episodes: -174.626, Avg. Loss: 0.470, Time: 0.946, Training Steps: 81, Eps: 1.000
02-Aug-19 22:33:30 - LanderQAgent - INFO - Episode: 57, Total Reward: -332.961, Avg. Reward Last 100 Episodes: -173.523, Avg. Loss: 0.397, Time: 2.019, Training Steps: 167, Eps: 1.000
02-Aug-19 22:33:31 - LanderQAgent - INFO - Episode: 58, Total Reward: -420.565, Avg. Reward Last 100 Episodes: -176.272, Avg. Loss: 0.417, Time: 1.139, Training Steps: 95, Eps: 1.000
02-Aug-19 22:33:32 - LanderQAgent - INFO - Episode: 59, Total Reward: -55.817, Avg. Reward Last 100 Episodes: -180.413, Avg. Loss: 0.419, Time: 0.938, Training Steps: 70, Eps: 1.000
02-Aug-19 22:33:33 - LanderQAgent - INFO - Episode: 60, Total Reward: -290.496, Avg. Reward Last 100 Episodes: -178.336, Avg. Loss: 0.418, Time: 1.015, Training Steps: 84, Eps: 1.000
02-Aug-19 22:33:34 - LanderQAgent - INFO - Episode: 61, Total Reward: -130.596, Avg. Reward Last 100 Episodes: -180.175, Avg. Loss: 0.370, Time: 1.487, Training Steps: 127, Eps: 1.000
02-Aug-19 22:33:35 - LanderQAgent - INFO - Episode: 62, Total Reward: -130.410, Avg. Reward Last 100 Episodes: -179.375, Avg. Loss: 0.392, Time: 1.124, Training Steps: 88, Eps: 1.000
02-Aug-19 22:33:36 - LanderQAgent - INFO - Episode: 63, Total Reward: -105.527, Avg. Reward Last 100 Episodes: -178.598, Avg. Loss: 0.406, Time: 0.773, Training Steps: 64, Eps: 1.000
02-Aug-19 22:33:38 - LanderQAgent - INFO - Target network is updated after 6000 steps
02-Aug-19 22:33:38 - LanderQAgent - INFO - Episode: 64, Total Reward: -159.246, Avg. Reward Last 100 Episodes: -177.456, Avg. Loss: 0.384, Time: 1.548, Training Steps: 128, Eps: 1.000
02-Aug-19 22:33:39 - LanderQAgent - INFO - Episode: 65, Total Reward: -102.240, Avg. Reward Last 100 Episodes: -177.176, Avg. Loss: 0.402, Time: 0.868, Training Steps: 66, Eps: 1.000
02-Aug-19 22:33:40 - LanderQAgent - INFO - Episode: 66, Total Reward: -77.000, Avg. Reward Last 100 Episodes: -176.041, Avg. Loss: 0.457, Time: 0.987, Training Steps: 84, Eps: 1.000
02-Aug-19 22:33:41 - LanderQAgent - INFO - Episode: 67, Total Reward: -233.682, Avg. Reward Last 100 Episodes: -174.562, Avg. Loss: 0.408, Time: 1.147, Training Steps: 98, Eps: 1.000
02-Aug-19 22:33:41 - LanderQAgent - INFO - Episode: 68, Total Reward: -85.530, Avg. Reward Last 100 Episodes: -175.432, Avg. Loss: 0.382, Time: 0.718, Training Steps: 61, Eps: 1.000
02-Aug-19 22:33:42 - LanderQAgent - INFO - Episode: 69, Total Reward: -71.635, Avg. Reward Last 100 Episodes: -174.129, Avg. Loss: 0.357, Time: 0.724, Training Steps: 62, Eps: 1.000
02-Aug-19 22:33:43 - LanderQAgent - INFO - Episode: 70, Total Reward: -140.683, Avg. Reward Last 100 Episodes: -172.665, Avg. Loss: 0.354, Time: 0.699, Training Steps: 60, Eps: 1.000
02-Aug-19 22:33:44 - LanderQAgent - INFO - Episode: 71, Total Reward: -237.028, Avg. Reward Last 100 Episodes: -172.214, Avg. Loss: 0.376, Time: 1.595, Training Steps: 123, Eps: 1.000
02-Aug-19 22:33:46 - LanderQAgent - INFO - Episode: 72, Total Reward: -257.231, Avg. Reward Last 100 Episodes: -173.114, Avg. Loss: 0.400, Time: 1.446, Training Steps: 115, Eps: 1.000
02-Aug-19 22:33:47 - LanderQAgent - INFO - Episode: 73, Total Reward: -138.472, Avg. Reward Last 100 Episodes: -174.267, Avg. Loss: 0.376, Time: 0.756, Training Steps: 63, Eps: 1.000
02-Aug-19 22:33:47 - LanderQAgent - INFO - Episode: 74, Total Reward: -50.665, Avg. Reward Last 100 Episodes: -173.783, Avg. Loss: 0.449, Time: 0.764, Training Steps: 64, Eps: 1.000
02-Aug-19 22:33:49 - LanderQAgent - INFO - Episode: 75, Total Reward: -188.614, Avg. Reward Last 100 Episodes: -172.141, Avg. Loss: 0.419, Time: 1.433, Training Steps: 120, Eps: 1.000
02-Aug-19 22:33:50 - LanderQAgent - INFO - Target network is updated after 7000 steps
02-Aug-19 22:33:50 - LanderQAgent - INFO - Episode: 76, Total Reward: -169.754, Avg. Reward Last 100 Episodes: -172.358, Avg. Loss: 0.464, Time: 1.047, Training Steps: 88, Eps: 1.000
02-Aug-19 22:33:51 - LanderQAgent - INFO - Episode: 77, Total Reward: 1.704, Avg. Reward Last 100 Episodes: -172.324, Avg. Loss: 0.473, Time: 0.810, Training Steps: 68, Eps: 1.000
02-Aug-19 22:33:52 - LanderQAgent - INFO - Episode: 78, Total Reward: -240.381, Avg. Reward Last 100 Episodes: -170.093, Avg. Loss: 0.444, Time: 1.420, Training Steps: 121, Eps: 1.000
02-Aug-19 22:33:53 - LanderQAgent - INFO - Episode: 79, Total Reward: -324.634, Avg. Reward Last 100 Episodes: -170.983, Avg. Loss: 0.413, Time: 1.220, Training Steps: 104, Eps: 1.000
