05-Aug-19 02:08:17 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-08-05-02-08-13', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
05-Aug-19 02:11:53 - torcs_agent_torcsAgent_actor - INFO - Episode: 26, Total Reward: -13.094, Avg. Reward Last 100 Episodes: 308.480, Avg. Actor Loss: -0.551 Avg. Critic Loss: 124.094 Avg. Q-Values: 13.684, Time: 6.734, Training Steps: 27, Eps: 0.996
05-Aug-19 02:12:01 - torcs_agent_torcsAgent_actor - INFO - Episode: 27, Total Reward: 80.621, Avg. Reward Last 100 Episodes: 296.570, Avg. Actor Loss: -0.577 Avg. Critic Loss: 156.119 Avg. Q-Values: 13.890, Time: 8.000, Training Steps: 28, Eps: 0.995
05-Aug-19 02:12:07 - torcs_agent_torcsAgent_actor - INFO - Episode: 28, Total Reward: 213.964, Avg. Reward Last 100 Episodes: 288.858, Avg. Actor Loss: -0.387 Avg. Critic Loss: 133.050 Avg. Q-Values: 13.098, Time: 6.533, Training Steps: 26, Eps: 0.995
05-Aug-19 02:12:15 - torcs_agent_torcsAgent_actor - INFO - Episode: 29, Total Reward: 408.784, Avg. Reward Last 100 Episodes: 286.275, Avg. Actor Loss: -0.368 Avg. Critic Loss: 112.314 Avg. Q-Values: 13.541, Time: 7.733, Training Steps: 32, Eps: 0.995
05-Aug-19 02:12:22 - torcs_agent_torcsAgent_actor - INFO - Episode: 30, Total Reward: 40.055, Avg. Reward Last 100 Episodes: 290.359, Avg. Actor Loss: -0.369 Avg. Critic Loss: 146.995 Avg. Q-Values: 12.546, Time: 6.583, Training Steps: 21, Eps: 0.995
05-Aug-19 02:12:28 - torcs_agent_torcsAgent_actor - INFO - Episode: 31, Total Reward: 71.755, Avg. Reward Last 100 Episodes: 282.284, Avg. Actor Loss: -0.449 Avg. Critic Loss: 121.493 Avg. Q-Values: 15.209, Time: 6.117, Training Steps: 24, Eps: 0.995
05-Aug-19 02:12:34 - torcs_agent_torcsAgent_actor - INFO - Episode: 32, Total Reward: 182.789, Avg. Reward Last 100 Episodes: 275.705, Avg. Actor Loss: -0.341 Avg. Critic Loss: 135.532 Avg. Q-Values: 13.842, Time: 6.316, Training Steps: 25, Eps: 0.994
05-Aug-19 02:12:41 - torcs_agent_torcsAgent_actor - INFO - Episode: 33, Total Reward: -26.474, Avg. Reward Last 100 Episodes: 272.890, Avg. Actor Loss: -0.380 Avg. Critic Loss: 76.759 Avg. Q-Values: 14.272, Time: 7.184, Training Steps: 24, Eps: 0.994
05-Aug-19 02:12:52 - torcs_agent_torcsAgent_actor - INFO - Episode: 34, Total Reward: 695.470, Avg. Reward Last 100 Episodes: 264.085, Avg. Actor Loss: -0.373 Avg. Critic Loss: 132.148 Avg. Q-Values: 13.455, Time: 10.349, Training Steps: 45, Eps: 0.994
05-Aug-19 02:12:58 - torcs_agent_torcsAgent_actor - INFO - Episode: 35, Total Reward: -30.691, Avg. Reward Last 100 Episodes: 276.410, Avg. Actor Loss: -0.430 Avg. Critic Loss: 167.966 Avg. Q-Values: 15.448, Time: 6.317, Training Steps: 25, Eps: 0.994
05-Aug-19 02:13:07 - torcs_agent_torcsAgent_actor - INFO - Episode: 36, Total Reward: 98.806, Avg. Reward Last 100 Episodes: 267.880, Avg. Actor Loss: -0.383 Avg. Critic Loss: 151.288 Avg. Q-Values: 14.346, Time: 8.602, Training Steps: 31, Eps: 0.993
05-Aug-19 02:13:13 - torcs_agent_torcsAgent_actor - INFO - Episode: 37, Total Reward: 139.591, Avg. Reward Last 100 Episodes: 263.310, Avg. Actor Loss: -0.300 Avg. Critic Loss: 168.446 Avg. Q-Values: 13.435, Time: 6.113, Training Steps: 24, Eps: 0.993
05-Aug-19 02:13:20 - torcs_agent_torcsAgent_actor - INFO - Episode: 38, Total Reward: 225.547, Avg. Reward Last 100 Episodes: 260.054, Avg. Actor Loss: -0.372 Avg. Critic Loss: 114.818 Avg. Q-Values: 15.328, Time: 6.734, Training Steps: 27, Eps: 0.993
05-Aug-19 02:13:27 - torcs_agent_torcsAgent_actor - INFO - Episode: 39, Total Reward: 178.223, Avg. Reward Last 100 Episodes: 259.170, Avg. Actor Loss: -0.339 Avg. Critic Loss: 85.255 Avg. Q-Values: 13.121, Time: 7.799, Training Steps: 27, Eps: 0.993
05-Aug-19 02:13:34 - torcs_agent_torcsAgent_actor - INFO - Episode: 40, Total Reward: 165.538, Avg. Reward Last 100 Episodes: 257.146, Avg. Actor Loss: -0.383 Avg. Critic Loss: 109.840 Avg. Q-Values: 15.241, Time: 6.317, Training Steps: 25, Eps: 0.993
05-Aug-19 02:13:40 - torcs_agent_torcsAgent_actor - INFO - Episode: 41, Total Reward: -69.120, Avg. Reward Last 100 Episodes: 254.912, Avg. Actor Loss: -0.569 Avg. Critic Loss: 61.041 Avg. Q-Values: 19.205, Time: 5.917, Training Steps: 23, Eps: 0.992
05-Aug-19 02:13:47 - torcs_agent_torcsAgent_actor - INFO - Episode: 42, Total Reward: 86.844, Avg. Reward Last 100 Episodes: 247.197, Avg. Actor Loss: -0.523 Avg. Critic Loss: 122.211 Avg. Q-Values: 16.062, Time: 6.983, Training Steps: 23, Eps: 0.992
05-Aug-19 02:13:56 - torcs_agent_torcsAgent_actor - INFO - Episode: 43, Total Reward: 652.249, Avg. Reward Last 100 Episodes: 243.467, Avg. Actor Loss: -0.595 Avg. Critic Loss: 123.754 Avg. Q-Values: 17.331, Time: 9.549, Training Steps: 41, Eps: 0.992
05-Aug-19 02:14:05 - torcs_agent_torcsAgent_actor - INFO - Episode: 44, Total Reward: 425.170, Avg. Reward Last 100 Episodes: 252.758, Avg. Actor Loss: -0.639 Avg. Critic Loss: 129.851 Avg. Q-Values: 18.210, Time: 8.750, Training Steps: 37, Eps: 0.992
05-Aug-19 02:14:13 - torcs_agent_torcsAgent_actor - INFO - Episode: 45, Total Reward: 215.513, Avg. Reward Last 100 Episodes: 256.589, Avg. Actor Loss: -0.654 Avg. Critic Loss: 98.078 Avg. Q-Values: 17.933, Time: 8.602, Training Steps: 31, Eps: 0.991
