09-Sep-22 16:10:12 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (25,), 'action_dim': (3,), 'ctx': 'gpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.00066666666, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 10000000, 'sample_size': 10000, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (25,), 'action_dim': (3,)}, 'training_episodes': 2000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'no', 'train_interval': 1, 'snapshot_interval': 50, 'agent_name': 'AutopilotAgent', 'max_episode_step': 1000, 'output_directory': 'model/AutopilotAgent/2022-09-09-16-10-06', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.0025, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
09-Sep-22 16:10:12 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
09-Sep-22 16:10:32 - AutopilotAgent - INFO - Episode: 41, Total Reward: -21483.572, Avg. Reward Last 100 Episodes: 3068.987, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.498, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:32 - AutopilotAgent - INFO - Episode: 42, Total Reward: 17611.886, Avg. Reward Last 100 Episodes: 2484.403, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.450, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:32 - AutopilotAgent - INFO - Episode: 43, Total Reward: -8721.075, Avg. Reward Last 100 Episodes: 2836.205, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.507, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:33 - AutopilotAgent - INFO - Episode: 44, Total Reward: 1757.682, Avg. Reward Last 100 Episodes: 2573.539, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.622, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:34 - AutopilotAgent - INFO - Episode: 45, Total Reward: -3146.690, Avg. Reward Last 100 Episodes: 2555.409, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.451, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:34 - AutopilotAgent - INFO - Episode: 46, Total Reward: 14907.648, Avg. Reward Last 100 Episodes: 2431.450, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.559, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:35 - AutopilotAgent - INFO - Episode: 47, Total Reward: -9730.275, Avg. Reward Last 100 Episodes: 2696.901, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.530, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:35 - AutopilotAgent - INFO - Episode: 48, Total Reward: 6232.400, Avg. Reward Last 100 Episodes: 2438.002, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.460, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:36 - AutopilotAgent - INFO - Episode: 49, Total Reward: 7789.454, Avg. Reward Last 100 Episodes: 2515.438, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.560, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:36 - AutopilotAgent - INFO - Episode: 50, Total Reward: -1381.076, Avg. Reward Last 100 Episodes: 2620.919, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.422, Training Steps: 0, Eps: 1.000
