30-Dec-22 19:55:06 - TurtlebotAgent - INFO - --- Start training ---
30-Dec-22 19:55:07 - TurtlebotAgent - INFO - Target network is updated after 0 steps
30-Dec-22 20:09:26 - TurtlebotAgent - INFO - Episode: 49, Total Reward: 95.514, Avg. Reward Last 100 Episodes: -18.410, Avg. Loss: 0.000, Time: 11.446, Training Steps: 0, Eps: 0.985
30-Dec-22 20:09:37 - TurtlebotAgent - INFO - Episode: 50, Total Reward: -159.920, Avg. Reward Last 100 Episodes: -16.131, Avg. Loss: 0.000, Time: 10.842, Training Steps: 0, Eps: 0.985
30-Dec-22 20:09:48 - TurtlebotAgent - INFO - Episode: 51, Total Reward: -175.547, Avg. Reward Last 100 Episodes: -18.951, Avg. Loss: 0.000, Time: 10.534, Training Steps: 0, Eps: 0.985
30-Dec-22 20:10:03 - TurtlebotAgent - INFO - Episode: 52, Total Reward: -201.052, Avg. Reward Last 100 Episodes: -21.962, Avg. Loss: 0.000, Time: 14.962, Training Steps: 0, Eps: 0.985
30-Dec-22 20:10:10 - TurtlebotAgent - INFO - Episode: 53, Total Reward: -145.860, Avg. Reward Last 100 Episodes: -25.341, Avg. Loss: 0.000, Time: 7.475, Training Steps: 0, Eps: 0.985
30-Dec-22 20:10:34 - TurtlebotAgent - INFO - Episode: 54, Total Reward: 131.675, Avg. Reward Last 100 Episodes: -27.573, Avg. Loss: 0.000, Time: 23.591, Training Steps: 0, Eps: 0.985
30-Dec-22 20:11:37 - TurtlebotAgent - INFO - Episode: 55, Total Reward: 122.173, Avg. Reward Last 100 Episodes: -24.678, Avg. Loss: 0.000, Time: 63.611, Training Steps: 0, Eps: 0.984
30-Dec-22 20:11:59 - TurtlebotAgent - INFO - Episode: 56, Total Reward: -91.966, Avg. Reward Last 100 Episodes: -22.055, Avg. Loss: 0.000, Time: 21.835, Training Steps: 0, Eps: 0.984
30-Dec-22 20:12:16 - TurtlebotAgent - INFO - Episode: 57, Total Reward: -142.562, Avg. Reward Last 100 Episodes: -23.282, Avg. Loss: 0.000, Time: 17.088, Training Steps: 0, Eps: 0.984
30-Dec-22 20:12:33 - TurtlebotAgent - INFO - Episode: 58, Total Reward: -176.221, Avg. Reward Last 100 Episodes: -25.338, Avg. Loss: 0.000, Time: 17.038, Training Steps: 0, Eps: 0.984
30-Dec-22 20:12:39 - TurtlebotAgent - INFO - Episode: 59, Total Reward: -127.163, Avg. Reward Last 100 Episodes: -27.896, Avg. Loss: 0.000, Time: 5.955, Training Steps: 0, Eps: 0.984
30-Dec-22 20:13:09 - TurtlebotAgent - INFO - Episode: 60, Total Reward: 64.448, Avg. Reward Last 100 Episodes: -29.550, Avg. Loss: 0.000, Time: 29.527, Training Steps: 0, Eps: 0.984
30-Dec-22 20:13:34 - TurtlebotAgent - INFO - Episode: 61, Total Reward: -158.560, Avg. Reward Last 100 Episodes: -28.009, Avg. Loss: 0.000, Time: 24.806, Training Steps: 0, Eps: 0.984
30-Dec-22 20:13:53 - TurtlebotAgent - INFO - Episode: 62, Total Reward: -109.443, Avg. Reward Last 100 Episodes: -30.115, Avg. Loss: 0.000, Time: 19.082, Training Steps: 0, Eps: 0.984
