04-Aug-19 02:55:36 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-08-04-02-55-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
04-Aug-19 02:55:36 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
04-Aug-19 02:59:32 - TorcsAgent - INFO - Episode: 28, Total Reward: -62.100, Avg. Reward Last 100 Episodes: 356.660, Avg. Actor Loss: -39.668 Avg. Critic Loss: 0.927 Avg. Q-Values: 13.640, Time: 6.742, Training Steps: 27, Eps: 0.995
04-Aug-19 02:59:39 - TorcsAgent - INFO - Episode: 29, Total Reward: 143.352, Avg. Reward Last 100 Episodes: 342.220, Avg. Actor Loss: -38.614 Avg. Critic Loss: 1.241 Avg. Q-Values: 13.543, Time: 7.125, Training Steps: 29, Eps: 0.995
04-Aug-19 02:59:47 - TorcsAgent - INFO - Episode: 30, Total Reward: 257.160, Avg. Reward Last 100 Episodes: 335.592, Avg. Actor Loss: -39.336 Avg. Critic Loss: 0.815 Avg. Q-Values: 15.763, Time: 8.383, Training Steps: 30, Eps: 0.994
04-Aug-19 02:59:54 - TorcsAgent - INFO - Episode: 31, Total Reward: 78.679, Avg. Reward Last 100 Episodes: 333.061, Avg. Actor Loss: -42.255 Avg. Critic Loss: 0.870 Avg. Q-Values: 16.011, Time: 6.534, Training Steps: 26, Eps: 0.994
04-Aug-19 03:00:03 - TorcsAgent - INFO - Episode: 32, Total Reward: 324.472, Avg. Reward Last 100 Episodes: 325.112, Avg. Actor Loss: -43.519 Avg. Critic Loss: 0.850 Avg. Q-Values: 17.154, Time: 9.559, Training Steps: 41, Eps: 0.994
04-Aug-19 03:00:11 - TorcsAgent - INFO - Episode: 33, Total Reward: 9.717, Avg. Reward Last 100 Episodes: 325.093, Avg. Actor Loss: -47.858 Avg. Critic Loss: 0.974 Avg. Q-Values: 20.066, Time: 7.792, Training Steps: 27, Eps: 0.994
04-Aug-19 03:00:20 - TorcsAgent - INFO - Episode: 34, Total Reward: 259.323, Avg. Reward Last 100 Episodes: 315.817, Avg. Actor Loss: -43.491 Avg. Critic Loss: 1.063 Avg. Q-Values: 19.659, Time: 8.550, Training Steps: 36, Eps: 0.993
04-Aug-19 03:00:29 - TorcsAgent - INFO - Episode: 35, Total Reward: 664.470, Avg. Reward Last 100 Episodes: 314.203, Avg. Actor Loss: -47.419 Avg. Critic Loss: 1.173 Avg. Q-Values: 21.717, Time: 9.751, Training Steps: 42, Eps: 0.993
04-Aug-19 03:00:40 - TorcsAgent - INFO - Episode: 36, Total Reward: 908.415, Avg. Reward Last 100 Episodes: 323.932, Avg. Actor Loss: -50.235 Avg. Critic Loss: 0.989 Avg. Q-Values: 23.556, Time: 11.006, Training Steps: 43, Eps: 0.993
04-Aug-19 03:00:47 - TorcsAgent - INFO - Episode: 37, Total Reward: 141.250, Avg. Reward Last 100 Episodes: 339.729, Avg. Actor Loss: -54.123 Avg. Critic Loss: 0.891 Avg. Q-Values: 25.860, Time: 6.726, Training Steps: 27, Eps: 0.993
