12-Sep-22 12:53:21 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (50,), 'action_dim': (3,), 'ctx': 'cpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.0004, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 1000000, 'sample_size': 500, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (50,), 'action_dim': (3,)}, 'training_episodes': 3000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'yes', 'train_interval': 1, 'snapshot_interval': 100, 'agent_name': 'AutopilotAgent', 'max_episode_step': 5000, 'output_directory': 'model/AutopilotAgent/2022-09-12-12-53-18', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.005, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
12-Sep-22 12:53:21 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
12-Sep-22 12:53:42 - AutopilotAgent - INFO - Episode: 27, Total Reward: -5891.226, Avg. Reward Last 100 Episodes: -5513.903, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.692, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:43 - AutopilotAgent - INFO - Episode: 28, Total Reward: -26347.783, Avg. Reward Last 100 Episodes: -5527.378, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.665, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:44 - AutopilotAgent - INFO - Episode: 29, Total Reward: 8254.307, Avg. Reward Last 100 Episodes: -6245.323, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.624, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:45 - AutopilotAgent - INFO - Episode: 30, Total Reward: -36171.089, Avg. Reward Last 100 Episodes: -5762.002, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.753, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:46 - AutopilotAgent - INFO - Episode: 31, Total Reward: 10393.338, Avg. Reward Last 100 Episodes: -6742.941, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 1.401, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:47 - AutopilotAgent - INFO - Episode: 32, Total Reward: -69507.893, Avg. Reward Last 100 Episodes: -6207.432, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.724, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:47 - AutopilotAgent - INFO - Episode: 33, Total Reward: -63609.180, Avg. Reward Last 100 Episodes: -8125.628, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.699, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:48 - AutopilotAgent - INFO - Episode: 34, Total Reward: -941.387, Avg. Reward Last 100 Episodes: -9757.497, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.688, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:49 - AutopilotAgent - INFO - Episode: 35, Total Reward: 5546.740, Avg. Reward Last 100 Episodes: -9505.608, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.680, Training Steps: 0, Eps: 1.000
12-Sep-22 12:53:49 - AutopilotAgent - INFO - Episode: 36, Total Reward: -1698.333, Avg. Reward Last 100 Episodes: -9087.487, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.761, Training Steps: 0, Eps: 1.000
