15-Jul-19 16:09:41 - PoleAgent - INFO - --- Start training ---
15-Jul-19 16:09:42 - PoleAgent - INFO - Target network is updated after 0 steps
15-Jul-19 16:10:52 - PoleAgent - INFO - Episode: 56, Total Reward: 23.000, Avg. Reward Last 100 Episodes: 20.857, Avg. Loss: 0.030, Time: 1.302, Training Steps: 23, Eps: 0.765
15-Jul-19 16:10:53 - PoleAgent - INFO - Episode: 57, Total Reward: 15.000, Avg. Reward Last 100 Episodes: 20.895, Avg. Loss: 0.028, Time: 1.191, Training Steps: 15, Eps: 0.760
15-Jul-19 16:10:54 - PoleAgent - INFO - Episode: 58, Total Reward: 11.000, Avg. Reward Last 100 Episodes: 20.793, Avg. Loss: 0.028, Time: 1.143, Training Steps: 11, Eps: 0.755
15-Jul-19 16:10:56 - PoleAgent - INFO - Episode: 59, Total Reward: 17.000, Avg. Reward Last 100 Episodes: 20.627, Avg. Loss: 0.030, Time: 1.216, Training Steps: 17, Eps: 0.750
15-Jul-19 16:10:57 - PoleAgent - INFO - Episode: 60, Total Reward: 12.000, Avg. Reward Last 100 Episodes: 20.567, Avg. Loss: 0.034, Time: 1.155, Training Steps: 12, Eps: 0.745
15-Jul-19 16:10:58 - PoleAgent - INFO - Episode: 61, Total Reward: 34.000, Avg. Reward Last 100 Episodes: 20.426, Avg. Loss: 0.029, Time: 1.431, Training Steps: 34, Eps: 0.740
15-Jul-19 16:10:59 - PoleAgent - INFO - Episode: 62, Total Reward: 14.000, Avg. Reward Last 100 Episodes: 20.645, Avg. Loss: 0.025, Time: 1.180, Training Steps: 14, Eps: 0.735
15-Jul-19 16:11:01 - PoleAgent - INFO - Episode: 63, Total Reward: 36.000, Avg. Reward Last 100 Episodes: 20.540, Avg. Loss: 0.029, Time: 1.471, Training Steps: 36, Eps: 0.730
15-Jul-19 16:11:02 - PoleAgent - INFO - Episode: 64, Total Reward: 14.000, Avg. Reward Last 100 Episodes: 20.781, Avg. Loss: 0.033, Time: 1.181, Training Steps: 14, Eps: 0.725
15-Jul-19 16:11:03 - PoleAgent - INFO - Episode: 65, Total Reward: 12.000, Avg. Reward Last 100 Episodes: 20.677, Avg. Loss: 0.025, Time: 1.153, Training Steps: 12, Eps: 0.720
15-Jul-19 16:11:04 - PoleAgent - INFO - Episode: 66, Total Reward: 11.000, Avg. Reward Last 100 Episodes: 20.545, Avg. Loss: 0.031, Time: 1.142, Training Steps: 11, Eps: 0.715
