02-Aug-19 13:32:43 - CheetahAgent - INFO - Agent created with following parameters: {'actor_optimizer': 'adam', 'start_training': 1, 'strategy_params': {'epsilon_decay_start': 1000, 'action_low': -1, 'epsilon_decay_method': 'linear', 'min_epsilon': 0.05, 'noise_variance': 0.1, 'method': 'gaussian', 'action_high': 1, 'epsilon': 1, 'epsilon_decay': 0.005, 'action_dim': (6,)}, 'action_dim': (6,), 'target_score': None, 'train_interval': 1, 'critic_optimizer_params': {'learning_rate': 0.001}, 'snapshot_interval': 250, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (26,), 'sample_size': 100, 'method': 'buffer', 'action_dtype': 'float32', 'memory_size': 1000000, 'rewards_dtype': 'float32', 'action_dim': (6,)}, 'max_episode_step': 10000, 'discount_factor': 0.99, 'soft_target_update_rate': 0.005, 'training_episodes': 2500, 'output_directory': 'model/CheetahAgent/2019-08-02-13-32-39', 'ctx': 'gpu(0)', 'state_dim': (26,), 'actor_optimizer_params': {'learning_rate': 0.001}, 'verbose': True, 'agent_name': 'CheetahAgent', 'critic_optimizer': 'adam', 'evaluation_samples': 100}
02-Aug-19 13:32:43 - CheetahAgent - INFO - --- Start TwinDelayedDDPG training ---
02-Aug-19 13:32:46 - CheetahAgent - INFO - Episode: 28, Total Reward: 0.275, Avg. Reward Last 100 Episodes: 0.496, Avg. Actor Loss: -0.518 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.176, Time: 0.129, Training Steps: 15, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 29, Total Reward: 1.140, Avg. Reward Last 100 Episodes: 0.488, Avg. Actor Loss: -0.607 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.192, Time: 0.115, Training Steps: 15, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 30, Total Reward: -2.608, Avg. Reward Last 100 Episodes: 0.510, Avg. Actor Loss: -0.740 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.203, Time: 0.153, Training Steps: 19, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 31, Total Reward: -0.698, Avg. Reward Last 100 Episodes: 0.409, Avg. Actor Loss: -0.731 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.215, Time: 0.107, Training Steps: 14, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 32, Total Reward: -0.139, Avg. Reward Last 100 Episodes: 0.375, Avg. Actor Loss: -0.695 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.237, Time: 0.111, Training Steps: 15, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 33, Total Reward: -2.297, Avg. Reward Last 100 Episodes: 0.359, Avg. Actor Loss: -0.730 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.248, Time: 0.105, Training Steps: 14, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 34, Total Reward: -3.984, Avg. Reward Last 100 Episodes: 0.281, Avg. Actor Loss: -0.801 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.259, Time: 0.138, Training Steps: 17, Eps: 1.000
02-Aug-19 13:32:47 - CheetahAgent - INFO - Episode: 35, Total Reward: -3.720, Avg. Reward Last 100 Episodes: 0.159, Avg. Actor Loss: -0.825 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.269, Time: 0.126, Training Steps: 16, Eps: 1.000
02-Aug-19 13:32:48 - CheetahAgent - INFO - Episode: 36, Total Reward: 3.920, Avg. Reward Last 100 Episodes: 0.051, Avg. Actor Loss: -0.751 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.285, Time: 0.234, Training Steps: 30, Eps: 1.000
02-Aug-19 13:32:48 - CheetahAgent - INFO - Episode: 37, Total Reward: -0.991, Avg. Reward Last 100 Episodes: 0.156, Avg. Actor Loss: -0.724 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.278, Time: 0.084, Training Steps: 11, Eps: 1.000
